pid,h2,h3,strong,p,cpt,t.1,p.1,speaker.d,t.3,t.2,t.4,t.5,t.c
1008,NA,NA,מירי:, מדוע?,מירי: מדוע?,"<sp who=""#miri""><speaker>מירי</speaker><p> מדוע?</p></sp>",NA,miri,,NA,NA,NA,NA
1009,NA,NA,דיאמנט:, מדוע? משום שמדבריך מסתבר שתגורי בבית הכלא.,דיאמנט: מדוע? משום שמדבריך מסתבר שתגורי בבית הכלא.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> מדוע? משום שמדבריך מסתבר שתגורי בבית הכלא.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1010,NA,NA,מירי:, בבית־הכלא?,מירי: בבית־הכלא?,"<sp who=""#miri""><speaker>מירי</speaker><p> בבית־הכלא?</p></sp>",NA,miri,,NA,NA,NA,NA
1011,NA,NA,דיאמנט:," לדעתי זה מוגזם במקצת, אפילו בעבור אבא כל־כך נחמד כמו אותו מירקין. אגב, חיי אביך וגורלו תלויים בהחלטתך. ","דיאמנט: לדעתי זה מוגזם במקצת, אפילו בעבור אבא כל־כך נחמד כמו אותו מירקין. אגב, חיי אביך וגורלו תלויים בהחלטתך. ","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> לדעתי זה מוגזם במקצת, אפילו בעבור אבא כל־כך נחמד כמו אותו מירקין. אגב, חיי אביך וגורלו תלויים בהחלטתך. </p></sp>",NA,diamenet,,NA,NA,NA,NA
1012,NA,NA,מירי:," חיו אבי יקרים לי יותר מכל, ואתה יודע זאת.","מירי: חיו אבי יקרים לי יותר מכל, ואתה יודע זאת.","<sp who=""#miri""><speaker>מירי</speaker><p> חיו אבי יקרים לי יותר מכל, ואתה יודע זאת.</p></sp>",NA,miri,,NA,NA,NA,NA
1013,NA,NA,דיאמנט:," יפה. כעבור שנה ניסע מכאן, הרחק, ואם תרצי בכך נהיה מאושרים מאד.","דיאמנט: יפה. כעבור שנה ניסע מכאן, הרחק, ואם תרצי בכך נהיה מאושרים מאד.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> יפה. כעבור שנה ניסע מכאן, הרחק, ואם תרצי בכך נהיה מאושרים מאד.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1014,NA,NA,מירי:, מי?,מירי: מי?,"<sp who=""#miri""><speaker>מירי</speaker><p> מי?</p></sp>",NA,miri,,NA,NA,NA,NA
1015,NA,NA,דיאמנט:," כלומר, אני ואת.","דיאמנט: כלומר, אני ואת.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> כלומר, אני ואת.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1016,NA,NA,מירי:," אתה לועג לי. מדוע אתה לועג לי?! דיאמנט, מה רעה גרמתי לך? הרי אמרת כי לא תלך אל השופטים!","מירי: אתה לועג לי. מדוע אתה לועג לי?! דיאמנט, מה רעה גרמתי לך? הרי אמרת כי לא תלך אל השופטים!","<sp who=""#miri""><speaker>מירי</speaker><p> אתה לועג לי. מדוע אתה לועג לי?! דיאמנט, מה רעה גרמתי לך? הרי אמרת כי לא תלך אל השופטים!</p></sp>",NA,miri,,NA,NA,NA,NA
1017,NA,NA,דיאמנט:," (בלעג) “חיי אביך יקרים מכל”. מלים. מלים.
מלים ותו־לא. קראתם זאת בספרים רומנטיים. אני האיש שראה כיצד דאג הבעל
לעורו, והאשה לבשרה וחייה ושניהם הפקירו את ילדיהם. וילדים הפקירו את
הוריהם הזקנים, ובלבד שיוכלו להמשיך לחיות. כאשר המבחן הוא אמיתי אין ערך
למלים. לכבוד נשואיך עם רוביק תכניסי את אביך לבית־הסוהר?","דיאמנט: (בלעג) “חיי אביך יקרים מכל”. מלים. מלים.
מלים ותו־לא. קראתם זאת בספרים רומנטיים. אני האיש שראה כיצד דאג הבעל
לעורו, והאשה לבשרה וחייה ושניהם הפקירו את ילדיהם. וילדים הפקירו את
הוריהם הזקנים, ובלבד שיוכלו להמשיך לחיות. כאשר המבחן הוא אמיתי אין ערך
למלים. לכבוד נשואיך עם רוביק תכניסי את אביך לבית־הסוהר?","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> <stage> בלעג </stage> “חיי אביך יקרים מכל”. מלים. מלים.
מלים ותו־לא. קראתם זאת בספרים רומנטיים. אני האיש שראה כיצד דאג הבעל
לעורו, והאשה לבשרה וחייה ושניהם הפקירו את ילדיהם. וילדים הפקירו את
הוריהם הזקנים, ובלבד שיוכלו להמשיך לחיות. כאשר המבחן הוא אמיתי אין ערך
למלים. לכבוד נשואיך עם רוביק תכניסי את אביך לבית־הסוהר?</p></sp>",NA,diamenet,,NA,NA,NA,NA
1018,NA,NA,מירי:, (ממררת בבכי. ממהרת לדלת) אבא! אבא! (היא נפגשת בפתח עם מירקין. מחבקת אותו),מירי: (ממררת בבכי. ממהרת לדלת) אבא! אבא! (היא נפגשת בפתח עם מירקין. מחבקת אותו),"<sp who=""#miri""><speaker>מירי</speaker><p> <stage> ממררת בבכי. ממהרת לדלת) אבא! אבא! (היא נפגשת בפתח עם מירקין. מחבקת אותו </stage></p></sp>",NA,miri,,NA,NA,NA,NA
1019,NA,NA,דיאמנט:,"מירקין: (נכנס) מה אמרת לבתי, נבל, שכה הדמעת את עיניה?! ","מירקין: (נכנס) מה אמרת לבתי, נבל, שכה הדמעת את עיניה?! ","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: <stage> נכנס </stage> מה אמרת לבתי, נבל, שכה הדמעת את עיניה?! </p></sp>",NA,diamenet,,NA,NA,NA,NA
1020,NA,NA,מירי:,"דיאמנט: מאומה לא אמרתי. רק ספרתי לה, בתום לבב, ענין של נשואים ואהבה מול בית־כלא. זה הכל.","דיאמנט: מאומה לא אמרתי. רק ספרתי לה, בתום לבב, ענין של נשואים ואהבה מול בית־כלא. זה הכל.","<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: מאומה לא אמרתי. רק ספרתי לה, בתום לבב, ענין של נשואים ואהבה מול בית־כלא. זה הכל.</p></sp>",NA,miri,,NA,NA,NA,NA
1021,NA,NA,דיאמנט:,מירקין: זה הכל?! פתחת שוב את פיך.,מירקין: זה הכל?! פתחת שוב את פיך.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: זה הכל?! פתחת שוב את פיך.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1022,NA,NA,מירי:,דיאמנט: אם אתה צועק – אני בוחר לשתוק.,דיאמנט: אם אתה צועק – אני בוחר לשתוק.,"<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: אם אתה צועק – אני בוחר לשתוק.</p></sp>",NA,miri,,NA,NA,NA,NA
1023,NA,NA,דיאמנט:,"מירקין: דבר חיה־של־סחי! נו, פתח את פיך שרץ. כל הקדמה שלך היא לחישת נחש. פתח את פיך, נבל. דבר!","מירקין: דבר חיה־של־סחי! נו, פתח את פיך שרץ. כל הקדמה שלך היא לחישת נחש. פתח את פיך, נבל. דבר!","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p>מירקין: דבר חיה־של־סחי! נו, פתח את פיך שרץ. כל הקדמה שלך היא לחישת נחש. פתח את פיך, נבל. דבר!</p></sp>",NA,diamenet,,NA,NA,NA,NA
1024,NA,NA,מירי:,"דיאמנט: אשתדל להבליג על העלבון. ובכן, הענין הוא כך.
כך הוא הענין. מירי כמעט שמסכימה לכך, אולם היא רוצה שקודם כל יסכים
אביה… (באירוניה) אתה אביה לא כן?","דיאמנט: אשתדל להבליג על העלבון. ובכן, הענין הוא כך.
כך הוא הענין. מירי כמעט שמסכימה לכך, אולם היא רוצה שקודם כל יסכים
אביה… (באירוניה) אתה אביה לא כן?","<sp who=""#miri""><speaker>מירי</speaker><p>דיאמנט: אשתדל להבליג על העלבון. ובכן, הענין הוא כך.
כך הוא הענין. מירי כמעט שמסכימה לכך, אולם היא רוצה שקודם כל יסכים
אביה… <stage> באירוניה </stage> אתה אביה לא כן?</p></sp>",NA,miri,,NA,NA,NA,NA
1025,NA,NA,מירקין:," הנך משחק באש, דיאמנט. הזהר.","מירקין: הנך משחק באש, דיאמנט. הזהר.","<sp who=""#mirkin""><speaker>מירקין</speaker><p> הנך משחק באש, דיאמנט. הזהר.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1026,NA,NA,דיאמנט:," בית־הסהר יצנן את האש, תנוח דעתך. פרושו של
דבר, או הנשואים עם מירי וברכתך או… הברירה היא בידך (הפסקה) אתה רשאי
כמובן לבחור. תמיד אמרת שאדם יכול לבחור, והדבר תלוי בכח רצונו, בכח המוסר,
בכחם של אותם דברים נשגבים מבינתי. ובכן, במה בוחר אתה הפעם? ","דיאמנט: בית־הסהר יצנן את האש, תנוח דעתך. פרושו של
דבר, או הנשואים עם מירי וברכתך או… הברירה היא בידך (הפסקה) אתה רשאי
כמובן לבחור. תמיד אמרת שאדם יכול לבחור, והדבר תלוי בכח רצונו, בכח המוסר,
בכחם של אותם דברים נשגבים מבינתי. ובכן, במה בוחר אתה הפעם? ","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> בית־הסהר יצנן את האש, תנוח דעתך. פרושו של
דבר, או הנשואים עם מירי וברכתך או… הברירה היא בידך <stage> הפסקה </stage> אתה רשאי
כמובן לבחור. תמיד אמרת שאדם יכול לבחור, והדבר תלוי בכח רצונו, בכח המוסר,
בכחם של אותם דברים נשגבים מבינתי. ובכן, במה בוחר אתה הפעם? </p></sp>",NA,diamenet,,NA,NA,NA,NA
1027,NA,NA,מירקין:, חפשי אני לבחור לי קבר.,מירקין: חפשי אני לבחור לי קבר.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> חפשי אני לבחור לי קבר.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1028,NA,NA,דיאמנט:," הוא טועה אביך. גם בקברך לא תהיה חפשי מירקין.
(מירי יוצאת בבכי) כי איש לא ימתיק רגבי עפר לך. אינך יכול למות! ממש אסור,
ואתה יודע זאת בדיוק כמוני. כל חייך, מאבקך בין הפרטיזנים, מלחמתך על צלם
האדם בזורין, הכל יהיה לשוא, לריק.","דיאמנט: הוא טועה אביך. גם בקברך לא תהיה חפשי מירקין.
(מירי יוצאת בבכי) כי איש לא ימתיק רגבי עפר לך. אינך יכול למות! ממש אסור,
ואתה יודע זאת בדיוק כמוני. כל חייך, מאבקך בין הפרטיזנים, מלחמתך על צלם
האדם בזורין, הכל יהיה לשוא, לריק.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> הוא טועה אביך. גם בקברך לא תהיה חפשי מירקין.
<stage> מירי יוצאת בבכי </stage> כי איש לא ימתיק רגבי עפר לך. אינך יכול למות! ממש אסור,
ואתה יודע זאת בדיוק כמוני. כל חייך, מאבקך בין הפרטיזנים, מלחמתך על צלם
האדם בזורין, הכל יהיה לשוא, לריק.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1029,NA,NA,מירקין:, מה כונתך?,מירקין: מה כונתך?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> מה כונתך?</p></sp>",NA,mirkin,,NA,NA,NA,NA
1030,NA,NA,דיאמנט:," את כונתי רואים בעיניך. עולים בך הרהורי
כפירה. רוצה לאבד את עצמך לדעת ולברוח מן המאבק. מבקש להתאבד? נכון? כלומר,
גם לך אין תשובה. יפה.","דיאמנט: את כונתי רואים בעיניך. עולים בך הרהורי
כפירה. רוצה לאבד את עצמך לדעת ולברוח מן המאבק. מבקש להתאבד? נכון? כלומר,
גם לך אין תשובה. יפה.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> את כונתי רואים בעיניך. עולים בך הרהורי
כפירה. רוצה לאבד את עצמך לדעת ולברוח מן המאבק. מבקש להתאבד? נכון? כלומר,
גם לך אין תשובה. יפה.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1031,NA,NA,מירקין:, ואם כך? גם דרך זו רצונך לסגור בפני?,מירקין: ואם כך? גם דרך זו רצונך לסגור בפני?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> ואם כך? גם דרך זו רצונך לסגור בפני?</p></sp>",NA,mirkin,,NA,NA,NA,NA
1032,NA,NA,דיאמנט:," אני? לסגור? מה איכפת לי? אינני מיחס חשיבות
יתרה למותם של אחרים. אולם לך אסור למות. אסור. תאר בנפשך: מירקין מת.
לדעתך בכך נגמר הכל. לא. וזוהי טעותך. הנך שואל מדוע. ובכן שמע, ותאמר אם
אני צודק או לא. אחרי מותך בא דיאמנט אל מירי ומראה לה את הצלום – וזה כבר
לא כל־כך יפה. מה היא תחשוב עליך? היא תשנא אותך. זכרונך יעיר בה תעוב ושאט
נפש. היא תדע מי ומה אתה. מבין? לדיאמנט לא איכפת מה חושבים עליו, אולם
מירקין, מירקין חי במושגי־מוסר. ובכן, מה היא המסקנה שלנו – אסור לך למות.
זהו מה שאומרים: הגיון ברזל. מסתבר שגם למירקינים לעתים אין ברירה. ובכן,
לא רק בדיאמנט משחק הגורל, ידיד יקר.","דיאמנט: אני? לסגור? מה איכפת לי? אינני מיחס חשיבות
יתרה למותם של אחרים. אולם לך אסור למות. אסור. תאר בנפשך: מירקין מת.
לדעתך בכך נגמר הכל. לא. וזוהי טעותך. הנך שואל מדוע. ובכן שמע, ותאמר אם
אני צודק או לא. אחרי מותך בא דיאמנט אל מירי ומראה לה את הצלום – וזה כבר
לא כל־כך יפה. מה היא תחשוב עליך? היא תשנא אותך. זכרונך יעיר בה תעוב ושאט
נפש. היא תדע מי ומה אתה. מבין? לדיאמנט לא איכפת מה חושבים עליו, אולם
מירקין, מירקין חי במושגי־מוסר. ובכן, מה היא המסקנה שלנו – אסור לך למות.
זהו מה שאומרים: הגיון ברזל. מסתבר שגם למירקינים לעתים אין ברירה. ובכן,
לא רק בדיאמנט משחק הגורל, ידיד יקר.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> אני? לסגור? מה איכפת לי? אינני מיחס חשיבות
יתרה למותם של אחרים. אולם לך אסור למות. אסור. תאר בנפשך: מירקין מת.
לדעתך בכך נגמר הכל. לא. וזוהי טעותך. הנך שואל מדוע. ובכן שמע, ותאמר אם
אני צודק או לא. אחרי מותך בא דיאמנט אל מירי ומראה לה את הצלום – וזה כבר
לא כל־כך יפה. מה היא תחשוב עליך? היא תשנא אותך. זכרונך יעיר בה תעוב ושאט
נפש. היא תדע מי ומה אתה. מבין? לדיאמנט לא איכפת מה חושבים עליו, אולם
מירקין, מירקין חי במושגי־מוסר. ובכן, מה היא המסקנה שלנו – אסור לך למות.
זהו מה שאומרים: הגיון ברזל. מסתבר שגם למירקינים לעתים אין ברירה. ובכן,
לא רק בדיאמנט משחק הגורל, ידיד יקר.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1033,NA,NA,מירקין:, אפילו חסד מות לא תתן לי?,מירקין: אפילו חסד מות לא תתן לי?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> אפילו חסד מות לא תתן לי?</p></sp>",NA,mirkin,,NA,NA,NA,NA
1034,NA,NA,דיאמנט:," לא עכשיו. אני חייב לבוז לך, כשם שבזת לי אז,
שעה שגרשת אותי מתוך היער. אני חייב לראות במפלתך ולהוכיח לך שאין אתה טוב
ממני. מתוך רעב והכרח גנבתי–אוכל. ואתה מתוך הכרח צועד, צעד אחר צעד, לאן
שאני מוביל אותך, כשם שהרעב הוביל אותי לבגוד בחברי. אחרי החתונה תהיה רשאי
לתלות את עצמך. עכשיו – לא. אני זקוק ל“כליזמר”, מירקין. חתונה בלא מנגנים
כמוה כהלוית המת. ושנית, זוהי הזדמנות בלתי חוזרת להראות כוחך בנגינה, ואני
סקרן מאד לשמוע כיצד אתה מנגן.","דיאמנט: לא עכשיו. אני חייב לבוז לך, כשם שבזת לי אז,
שעה שגרשת אותי מתוך היער. אני חייב לראות במפלתך ולהוכיח לך שאין אתה טוב
ממני. מתוך רעב והכרח גנבתי–אוכל. ואתה מתוך הכרח צועד, צעד אחר צעד, לאן
שאני מוביל אותך, כשם שהרעב הוביל אותי לבגוד בחברי. אחרי החתונה תהיה רשאי
לתלות את עצמך. עכשיו – לא. אני זקוק ל“כליזמר”, מירקין. חתונה בלא מנגנים
כמוה כהלוית המת. ושנית, זוהי הזדמנות בלתי חוזרת להראות כוחך בנגינה, ואני
סקרן מאד לשמוע כיצד אתה מנגן.","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> לא עכשיו. אני חייב לבוז לך, כשם שבזת לי אז,
שעה שגרשת אותי מתוך היער. אני חייב לראות במפלתך ולהוכיח לך שאין אתה טוב
ממני. מתוך רעב והכרח גנבתי–אוכל. ואתה מתוך הכרח צועד, צעד אחר צעד, לאן
שאני מוביל אותך, כשם שהרעב הוביל אותי לבגוד בחברי. אחרי החתונה תהיה רשאי
לתלות את עצמך. עכשיו – לא. אני זקוק ל“כליזמר”, מירקין. חתונה בלא מנגנים
כמוה כהלוית המת. ושנית, זוהי הזדמנות בלתי חוזרת להראות כוחך בנגינה, ואני
סקרן מאד לשמוע כיצד אתה מנגן.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1035,NA,NA,NA,NA,(נשמעת נגינה ברחוב. מירקין ודיאמנט משתתקים ומאזינים.),,NA,NA,,NA,NA,NA,NA
1036,NA,NA,מירקין:, אתה משחק בי ואינך יודע מה אורך החבל בו קשור אני אליך.,מירקין: אתה משחק בי ואינך יודע מה אורך החבל בו קשור אני אליך.,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> אתה משחק בי ואינך יודע מה אורך החבל בו קשור אני אליך.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1037,NA,NA,דיאמנט:, טעות. אין לו סוף לחבל. שכחת – אני הוא גורלך.,דיאמנט: טעות. אין לו סוף לחבל. שכחת – אני הוא גורלך.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> טעות. אין לו סוף לחבל. שכחת – אני הוא גורלך.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1038,NA,NA,מירקין:," רצונך איפוא שאנבח ככלב? הבה דרוש ממני זאת.
מייד אנבח ככלב. אתה שומע? הב! הב! הב! כי אני גרוע גם מכלב. רצונך,
דיאמנט, שאיליל כשועל עירום בערבה קרה, בודד ומיותם. אהההו! אהההההו!
אההההו! הנה ייללתי כשועל. שמעת? כי באדם חוברו גם כלב גם שועל. הכל צפוי
והרשות נתונה. לא, אין זה נכון. הכל הוא בליל רותח. העולם הוא ערבוביה חסרת
טעם ובינה. ועכשיו איליל כשועל, אנבח ככלב, אנאק כזמיר בראש הגג, ואחר כך
אקפוץ מן הקומה העליונה לרחוב ואגרוף אותך אתי יחד, אל הכביש, למטה. אחר
שרצחת את מירקין, הנך חפץ להביא לקלון את בתו, כשם שנהגת בקלרה.","מירקין: רצונך איפוא שאנבח ככלב? הבה דרוש ממני זאת.
מייד אנבח ככלב. אתה שומע? הב! הב! הב! כי אני גרוע גם מכלב. רצונך,
דיאמנט, שאיליל כשועל עירום בערבה קרה, בודד ומיותם. אהההו! אהההההו!
אההההו! הנה ייללתי כשועל. שמעת? כי באדם חוברו גם כלב גם שועל. הכל צפוי
והרשות נתונה. לא, אין זה נכון. הכל הוא בליל רותח. העולם הוא ערבוביה חסרת
טעם ובינה. ועכשיו איליל כשועל, אנבח ככלב, אנאק כזמיר בראש הגג, ואחר כך
אקפוץ מן הקומה העליונה לרחוב ואגרוף אותך אתי יחד, אל הכביש, למטה. אחר
שרצחת את מירקין, הנך חפץ להביא לקלון את בתו, כשם שנהגת בקלרה.","<sp who=""#mirkin""><speaker>מירקין</speaker><p> רצונך איפוא שאנבח ככלב? הבה דרוש ממני זאת.
מייד אנבח ככלב. אתה שומע? הב! הב! הב! כי אני גרוע גם מכלב. רצונך,
דיאמנט, שאיליל כשועל עירום בערבה קרה, בודד ומיותם. אהההו! אהההההו!
אההההו! הנה ייללתי כשועל. שמעת? כי באדם חוברו גם כלב גם שועל. הכל צפוי
והרשות נתונה. לא, אין זה נכון. הכל הוא בליל רותח. העולם הוא ערבוביה חסרת
טעם ובינה. ועכשיו איליל כשועל, אנבח ככלב, אנאק כזמיר בראש הגג, ואחר כך
אקפוץ מן הקומה העליונה לרחוב ואגרוף אותך אתי יחד, אל הכביש, למטה. אחר
שרצחת את מירקין, הנך חפץ להביא לקלון את בתו, כשם שנהגת בקלרה.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1039,NA,NA,דיאמנט:," מי שבא לקלון – הקלון טמון בו, ויש רק לחשוף
את הגרעין. אתה טועה, מירקין, זמיר לעולם אינו נואק. זמיר הופך עורב
מחנות־רכוז, או שהנו פגר מת… לא מירקין זמיר נבון אינו נואק!","דיאמנט: מי שבא לקלון – הקלון טמון בו, ויש רק לחשוף
את הגרעין. אתה טועה, מירקין, זמיר לעולם אינו נואק. זמיר הופך עורב
מחנות־רכוז, או שהנו פגר מת… לא מירקין זמיר נבון אינו נואק!","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> מי שבא לקלון – הקלון טמון בו, ויש רק לחשוף
את הגרעין. אתה טועה, מירקין, זמיר לעולם אינו נואק. זמיר הופך עורב
מחנות־רכוז, או שהנו פגר מת… לא מירקין זמיר נבון אינו נואק!</p></sp>",NA,diamenet,,NA,NA,NA,NA
1040,NA,NA,מירקין:," זמיר מאושר אינו צועק. אפשר. אך אמור לי,
בבקשה, היכן הם הזמירים המאושרים. שיש להם בנות אשר עורב שחור דורס אותן
בצפרניו העקומות ואינם גועים בצחוק המר כמוני?","מירקין: זמיר מאושר אינו צועק. אפשר. אך אמור לי,
בבקשה, היכן הם הזמירים המאושרים. שיש להם בנות אשר עורב שחור דורס אותן
בצפרניו העקומות ואינם גועים בצחוק המר כמוני?","<sp who=""#mirkin""><speaker>מירקין</speaker><p> זמיר מאושר אינו צועק. אפשר. אך אמור לי,
בבקשה, היכן הם הזמירים המאושרים. שיש להם בנות אשר עורב שחור דורס אותן
בצפרניו העקומות ואינם גועים בצחוק המר כמוני?</p></sp>",NA,mirkin,,NA,NA,NA,NA
1041,NA,NA,דיאמנט:, לכל זמיר מחכה עורב בקץ דרכו. אולם אתה לא תבין זאת משום שדעתך מבולבלת עליך. ,דיאמנט: לכל זמיר מחכה עורב בקץ דרכו. אולם אתה לא תבין זאת משום שדעתך מבולבלת עליך. ,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> לכל זמיר מחכה עורב בקץ דרכו. אולם אתה לא תבין זאת משום שדעתך מבולבלת עליך. </p></sp>",NA,diamenet,,NA,NA,NA,NA
1042,NA,NA,מירקין:," סופה לחזור לאיתנה. או אז אלך אל עפרו של
מירקין – דע לך, דיאמנט אני אינני מירקין. שומע? אני אינני מירקין. אדם בלי
שם אנכי. כי אדם שיש לו שם היה חייב להניח כפותיו בצוארך ולהחניקך עד
מות.","מירקין: סופה לחזור לאיתנה. או אז אלך אל עפרו של
מירקין – דע לך, דיאמנט אני אינני מירקין. שומע? אני אינני מירקין. אדם בלי
שם אנכי. כי אדם שיש לו שם היה חייב להניח כפותיו בצוארך ולהחניקך עד
מות.","<sp who=""#mirkin""><speaker>מירקין</speaker><p> סופה לחזור לאיתנה. או אז אלך אל עפרו של
מירקין – דע לך, דיאמנט אני אינני מירקין. שומע? אני אינני מירקין. אדם בלי
שם אנכי. כי אדם שיש לו שם היה חייב להניח כפותיו בצוארך ולהחניקך עד
מות.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1043,NA,NA,דיאמנט:, מצוין. אם כך אוכל להראות למירי את דמות אביה בתמונה. הרוצח והנרצח. זה מול זה.,דיאמנט: מצוין. אם כך אוכל להראות למירי את דמות אביה בתמונה. הרוצח והנרצח. זה מול זה.,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> מצוין. אם כך אוכל להראות למירי את דמות אביה בתמונה. הרוצח והנרצח. זה מול זה.</p></sp>",NA,diamenet,,NA,NA,NA,NA
1044,NA,NA,מירקין:," ובאותו זמן אוכל לפתוח בנגינה? הרי צריך לשוות
הוד לרגע בו תגלה לה מי ומה אני. אומרים כי נרון קיסר רומי המטורף, נגן
בכנורו בשעה של שרפה גדולה – וגופי נשרף וקודח, דיאמנט.","מירקין: ובאותו זמן אוכל לפתוח בנגינה? הרי צריך לשוות
הוד לרגע בו תגלה לה מי ומה אני. אומרים כי נרון קיסר רומי המטורף, נגן
בכנורו בשעה של שרפה גדולה – וגופי נשרף וקודח, דיאמנט.","<sp who=""#mirkin""><speaker>מירקין</speaker><p> ובאותו זמן אוכל לפתוח בנגינה? הרי צריך לשוות
הוד לרגע בו תגלה לה מי ומה אני. אומרים כי נרון קיסר רומי המטורף, נגן
בכנורו בשעה של שרפה גדולה – וגופי נשרף וקודח, דיאמנט.</p></sp>",NA,mirkin,,NA,NA,NA,NA
1045,NA,NA,דיאמנט:," הב ידך, מירקין. נושיט כף זה לזה וכל מחסורך
עלי. די סבלנו במחנה בזורין. אל תהיה סבור שרע אני מטבעי. החיים למדוני שאת
הטובים, התמימים, החלשים, משמידים מתחת לשמים. כדור הארץ האומלל שלנו, הוא
יער שיש בו רק שתי ברירות, להשמיד או להשמד… אבל אני אדאג לך. הייתי רוצה
להוכיח שיש בי גם צדדים אחרים… תדבר עם מירי?","דיאמנט: הב ידך, מירקין. נושיט כף זה לזה וכל מחסורך
עלי. די סבלנו במחנה בזורין. אל תהיה סבור שרע אני מטבעי. החיים למדוני שאת
הטובים, התמימים, החלשים, משמידים מתחת לשמים. כדור הארץ האומלל שלנו, הוא
יער שיש בו רק שתי ברירות, להשמיד או להשמד… אבל אני אדאג לך. הייתי רוצה
להוכיח שיש בי גם צדדים אחרים… תדבר עם מירי?","<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> הב ידך, מירקין. נושיט כף זה לזה וכל מחסורך
עלי. די סבלנו במחנה בזורין. אל תהיה סבור שרע אני מטבעי. החיים למדוני שאת
הטובים, התמימים, החלשים, משמידים מתחת לשמים. כדור הארץ האומלל שלנו, הוא
יער שיש בו רק שתי ברירות, להשמיד או להשמד… אבל אני אדאג לך. הייתי רוצה
להוכיח שיש בי גם צדדים אחרים… תדבר עם מירי?</p></sp>",NA,diamenet,,NA,NA,NA,NA
1046,NA,NA,מירקין:," אדבר עמה. אלף הבטחות כזב אבטיח לה ובלבד
שתבוא אל יצועך, ובלבד שאת עורו יציל אדם, שהוא אדם נבל בהצילו את נפשו
מבית־האסורים. ","מירקין: אדבר עמה. אלף הבטחות כזב אבטיח לה ובלבד
שתבוא אל יצועך, ובלבד שאת עורו יציל אדם, שהוא אדם נבל בהצילו את נפשו
מבית־האסורים. ","<sp who=""#mirkin""><speaker>מירקין</speaker><p> אדבר עמה. אלף הבטחות כזב אבטיח לה ובלבד
שתבוא אל יצועך, ובלבד שאת עורו יציל אדם, שהוא אדם נבל בהצילו את נפשו
מבית־האסורים. </p></sp>",NA,mirkin,,NA,NA,NA,NA
1047,NA,NA,דיאמנט:, דברי אמת? מבטיח?,דיאמנט: דברי אמת? מבטיח?,"<sp who=""#diamenet""><speaker>דיאמנט</speaker><p> דברי אמת? מבטיח?</p></sp>",NA,diamenet,,NA,NA,NA,NA
1048,NA,NA,מירקין:, אמת לאמיתה. ואחר כך רשאי אהיה לנגן בחתונה כמה מן השירים העליזים המרקידים חתן אל גוף כלה?,מירקין: אמת לאמיתה. ואחר כך רשאי אהיה לנגן בחתונה כמה מן השירים העליזים המרקידים חתן אל גוף כלה?,"<sp who=""#mirkin""><speaker>מירקין</speaker><p> אמת לאמיתה. ואחר כך רשאי אהיה לנגן בחתונה כמה מן השירים העליזים המרקידים חתן אל גוף כלה?</p></sp>",NA,mirkin,,NA,NA,NA,NA
